farmacia_id,descrizione_farmacia,gestione,indirizzo_full,cap,comune,coordinate,maps_url,stato_attivita,tipo_punto,provincia,localita_frazione,telefono,email,data_verifica,note_statiche,maps_url_coords,coord_quality,n_farmacie_provincia,n_farmacie_comune,idx_comune,coord_valid
ITVR005388,Farmacia Zerbinato Dr.ssa Erika,privata,"Via Roma, 239",37040,Bevilacqua,"45.23334890883912, 11.398507206914273",Farmacia Zerbinato Dr.ssa Erika,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.232574%2C11.399453,ministero,284,1,1,TRUE
ITVR005389,Farmacia Pavan Dott.Gianfranco & Figli S.N.C.,privata,"Via Roma, 10",37040,Bonavigo,"45.258632772090266, 11.276034917172904",Farmacia Pavan Dott.Gianfranco & Figli S.N.C.,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.257908%2C11.275157,ministero,284,1,1,TRUE
ITVR005416,FARMACIA DEL DOTT. STEFANO ORLANDO,privata,"Piazza SANT'ANNA, 18",37040,Boschi Sant'Anna,"45.21904005152728, 11.357407711028705",Farmacia Dr. Orlando - Boschi Sant' Anna,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.208604%2C11.367462,ministero,284,1,1,TRUE
ITVR005290,Farmacia Lessinia Di Alfonso Maria Cristina,privata,"Via General Cantore, 24",37021,Bosco Chiesanuova,"45.61952992588167, 11.03386536892303",Farmacia Lessinia Di Alfonso Maria Cristina,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.622136%2C11.029713,ministero,284,1,1,TRUE
ITVR005405,Farmacia Bordogna Dr. Emilio,privata,"Via Giuseppe Garibaldi, 17",37051,Bovolone,"45.257451941302755, 11.12238315226392",Farmacia Bordogna Dr. Emilio,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.265076%2C11.117244,ministero,284,5,1,TRUE
ITVR019971,Farmacia Comunale Dott. Francesco Fakes,comunale,"Via San Pierin, 59",37051,Bovolone,"45.25098579647663, 11.130981054981135",Farmacia Comunale Dott. Fakes Francesco,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.25101923811964%2C11.131337229478195,verified_share,284,5,2,TRUE
ITVR005404,Farmacia ISALBERTI - Dott. Steccanella,privata,"Piazza Vittorio Emanuele, 15",37051,Bovolone,"45.257957598948515, 11.120445389251802",Farmacia ISALBERTI - Dott. Steccanella,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.265076%2C11.117244,ministero,284,5,3,TRUE
ITVR019647,Farmagorà Bovolone srl,privata,"Via Crosare, 125",37051,Bovolone,"45.25154099985867, 11.105380454222502",Farmacia Crosare - Farmagorà,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.25153016969627%2C11.105389948744888,verified_share,284,5,4,TRUE
ITVR005415,Farmacia Mela Dr.Giuseppe,privata,"Via Villafontana, 30 - Villafontana",37051,Bovolone,"45.289244207465686, 11.087225755397272",Farmacia Mela Dr.Giuseppe,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.265076%2C11.117244,ministero,284,5,5,TRUE
ITVR020714,FARMACIA MONTE BALDO,privata,"Via DON CESARE SCALA, 27 - RIVALTA",37020,Brentino Belluno,"45.65786951428578, 10.894002919267999",Farmacia Monte Baldo,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.657880030955916%2C10.893976826190132,verified_share,284,1,1,TRUE
ITVR005446,Farmacia Zaccaria sas di Luciani E. e Nigri M.,privata,"Via Cristoforo Colombo, 18",37010,Brenzone,"45.70657296580371, 10.766962451064423",Farmacia Zaccaria sas di Luciani E. e Nigri M.,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.699891%2C10.760578,ministero,284,1,1,TRUE
ITVR005432,Farmacia Centrale - Piazzoni Dott.ssa Antonella,privata,"Piazza della Vittoria, 1",37012,Bussolengo,"45.47502589654244, 10.847390781394523",Farmacia Centrale - Piazzoni Dott.ssa Antonella,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.474841%2C10.847063,ministero,284,5,1,TRUE
ITVR005463,FARMACIA FIDES S.N.C. DEL DOTT. MATTEO ZULIANI,privata,"Via ALCIDE DE GASPERI, 31",37012,Bussolengo,"45.4731596216946, 10.846335318351684",Pharmacy Fides,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.469108%2C10.850656,ministero,284,5,2,TRUE
ITVR016495,PRECERUTI MATTEO E C S.A.S.,privata,"Via Piemonte, 81/B - S. VITO AL MANTICO",37012,Bussolengo,"45.472595525624556, 10.889934985078858",Farmacia Preceruti Matteo,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.469540%2C10.898759,ministero,284,5,3,TRUE
ITVR018293,SAN VALENTINO DR. LEQUAGLIE LUIGI,privata,"Largo Salvo D'Acquisto, 16/17",37012,Bussolengo,"45.46671478906362, 10.851090923011878",Farmacia San Valentino,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.469108%2C10.850656,ministero,284,5,4,TRUE
ITVR005471,Farmacia Segala Bussolengo,privata,"Via Verona, 14",37012,Bussolengo,"45.46820923676259, 10.861972280775454",Farmacia Segala Bussolengo,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.469108%2C10.850656,ministero,284,5,5,TRUE
ITVR020219,FARMACIA SS. REDENTORE SRL,privata,"Via MONTE CAREGA, 4 - MARCHESINO",37060,Buttapietra,"45.36717440682315, 10.998413871275694",Farmacia Santissimo Redentore di dott.ssa Caterina Girardello,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.36725405806332%2C10.99882833196052,verified_share,284,2,1,TRUE
ITVR005329,Farmacia Manfrini,privata,"Piazza Roma, 41",37060,Buttapietra,"45.34171603126294, 10.998394801207741",Farmacia Manfrini,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.341226%2C10.999287,ministero,284,2,2,TRUE
ITVR005317,FARMACIA ANTICHE TERME DI CALDIERO SAS,privata,"Via Stra', 50",37042,Caldiero,"45.41565442132975, 11.178592599409635",Farmacia Antiche Terme,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.407530%2C11.170571,ministero,284,2,1,TRUE
ITVR020716,Farmacia San Lorenzo snc di Passarin Maria Stella e Pari Maria Chiara,privata,"Via Verona, 10 - caldierino",37042,Caldiero,"45.42247943960377, 11.182754308008741",Farmacia San Lorenzo,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.42817053128102%2C11.157678474795484,verified_share,284,2,2,TRUE
ITVR005423,Antica Farmacia Ambrosini dal 1766,privata,"Piazza Roma, 18",37013,Caprino Veronese,"45.606744852475096, 10.797425198722914",Antica Farmacia Ambrosini dal 1766,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.618872%2C10.803227,ministero,284,3,1,TRUE
ITVR005422,Farmacia Agosti dott.ssa Manara Giuliana,privata,"Via S. Pancrazio, 3",37013,Caprino Veronese,"45.6049564811747, 10.795241528187335",Farmacia Agosti di dott.ssa Giuliana Manara,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.603365%2C10.794870,ministero,284,3,2,TRUE
ITVR005424,Farmacia Sartori Snc Dei Dottori Chiara Silvia e Stefano Sartori,privata,"Via S. Luigi, 175 - Pesina",37013,Caprino Veronese,"45.59966778812836, 10.758705987068206",Farmacia Sartori Snc Dei Dottori Chiara Silvia e Stefano Sartori,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.599640%2C10.757959,ministero,284,3,3,TRUE
ITVR005396,Farmacia Fides S.n.c. Della Dott.ssa Elvina Margutti,privata,"Via Vittorio Veneto, 43",37052,Casaleone,"45.17062312497611, 11.202020703292144",Farmacia Fides,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.169889%2C11.200103,ministero,284,1,1,TRUE
ITVR005390,FARMACIA SAN MARTINO S.A.S. DELDOTT. MAURO TASSO E C.,privata,"Via Dante Alighieri, 200",37043,Castagnaro,"45.12110607318789, 11.409760678868794",Farmacia San Nicola s.a.s.,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.090689%2C11.404327,ministero,284,1,1,TRUE
ITVR019944,Farmacia Ghiaia - Beccacivetta,privata,"Via Mascagni, 77",37060,Castel D'Azzano,"45.36327031840803, 10.958130090096505",Farmacia Ghiaia,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.36338625509616%2C10.957942773108964,verified_share,284,3,1,TRUE
ITVR005373,Farmacia Paci Dr. Vinicio,privata,"Piazza Gilardoni, 4",37060,Castel D'Azzano,"45.35773614885312, 10.935414333858208",Farmacia Paci Dr. Vinicio,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.356775%2C10.946166,ministero,284,3,2,TRUE
ITVR005306,Farmacia Sartori Dr. Paola,privata,"Via Marconi, 42 - Beccacivetta",37060,Castel D'Azzano,"45.35695728672993, 10.950559265294388",Farmacia Sartori Dr. Paola,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.356775%2C10.946166,ministero,284,3,3,TRUE
ITVR005458,Farmacia Cavalcaselle Di Corna Dr. Elisabetta,privata,"Via XX Settembre, 99 - Cavalcaselle",37010,Castelnuovo Del Garda,"45.437806541888264, 10.726732555740085",Pharmacy Cavalcaselle Di Corna Dr. Elizabeth,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.437797%2C10.727091,ministero,284,4,1,TRUE
ITVR005452,Farmacia Castelnuovo di Lanza Dott.ssa Camilla,privata,"Piazza Della Libertà, 10",37014,Castelnuovo Del Garda,"45.43926774661118, 10.765592514810875",Pharmacy Castelnuovo Di Lanza Dr. Camilla,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.445587%2C10.741152,ministero,284,4,2,TRUE
ITVR019556,Farmacia Gardesana Di Scovotto Carmine E Goffredi Francesco S.n.c .,privata,"Via Montini, 2",37014,Castelnuovo Del Garda,"45.43812892565365, 10.759084905581977",Farmacia Gardesana,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.438208126766064%2C10.758681071714678,verified_share,284,4,3,TRUE
ITVR005469,Farmacia Pietropoli Dott. Alessio,privata,"Via Emilio Salgari, 5 - Sandrà",37014,Castelnuovo Del Garda,"45.460359469763, 10.782933445950828",Farmacia Pietropoli Di Pietropoli Dr. Alessio,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.445587%2C10.741152,ministero,284,4,4,TRUE
ITVR005428,Farmacia Chimica Orlandi Zerbini Dr. Zeno,privata,"Via Gerolamo Fracastoro, 1/ I",37010,Cavaion Veronese,"45.5393213757905, 10.773031374471902",Farmacia Chimica Orlandi Zerbini Dr. Zeno,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.531457%2C10.779635,ministero,284,2,1,TRUE
ITVR020581,"Farmacia All'Adige snc delle dott.sse Buniotto Fabiana,Busatto Irene e Sguotti Beatrice",privata,"Via Marconi, 20 - Sega di Cavaion",37010,Cavaion Veronese,"45.52075984065543, 10.801852317687194","Farmacia All'Adige delle dottoresse Buniotto, Busatto, Sguotti",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.520746840237685%2C10.801900711331259,verified_share,284,2,2,TRUE
ITVR005312,Farmacia Dal Colle Dr.Giuliana,privata,"Piazza Matteotti, 41",37030,Cazzano Di Tramigna,"45.471851858590725, 11.204601883381722",Farmacia Dal Colle Dr.Giuliana,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.484616%2C11.212409,ministero,284,1,1,TRUE
ITVR005394,Albertini Michela,privata,"Via Municipio, 4",37053,Cerea,"45.192502300120765, 11.212440151946208",Farmacia Albertini,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.192109%2C11.212070,ministero,284,5,1,TRUE
ITVR005413,Farmacia Bellini Dr. Maria Grazia,privata,"Strada provinciale - Via Isolella, 52 - Asparetto",37053,Cerea,"45.22208280962299, 11.17818099241151",Farmacia Bellini Dr. Maria Grazia,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.218617%2C11.174071,ministero,284,5,2,TRUE
ITVR005418,Farmacia Cherubine,privata,"Via Leopardi, 18 - CHERUBINE DI CEREA",37050,Cerea,"45.17438992161795, 11.23964128137332",Farmacia Cherubine,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.192804%2C11.211640,ministero,284,5,3,TRUE
ITVR005395,Farmacia De Steffani,privata,"Piazza Giacomo Matteotti, 5",37053,Cerea,"45.193984197475515, 11.211558762943433",Farmacia De Steffani,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.193446%2C11.211450,ministero,284,5,4,TRUE
ITVR019608,Farmacia San Vito Dei Dr. Andrea Prandini E Maurizio Prandini & C. S.n.c.,privata,"Via Mantova, 30",37053,Cerea,"45.1925465051834, 11.207342827885283",Farmacia San Vito,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.192678906722264%2C11.207512311677972,verified_share,284,5,5,TRUE
ITVR005337,Farmacia Mainieri Snc Dott. Elvira e Vincenzo Mainieri,privata,"Piazzale Alferia, 1",37020,Cerro Veronese,"45.57493556466248, 11.038215934695632","https://www.google.com/maps/place/Farmacia+Mainieri+Snc+Dott.+Elvira+e+Vincenzo+Mainieri/@45.5747113,11.0354952,1061m/data=!3m2!1e3!4b1!4m6!3m5!1s0x477f563d5bf41a83:0x669eb95d358a2c6c!8m2!3d45.5747076!4d11.0380701!16s%2Fg%2F1ts1r1_j!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.580597%2C11.041142,ministero,284,1,1,TRUE
ITVR005330,"Farmacia ""Al Pomo d'Oro"" di Ruffo Dott. Roberto",privata,"Via Cavour, 66-68",37044,Cologna Veneta,"45.31171698877568, 11.384508851390267","https://www.google.com/maps/place/Farmacia+%22Al+Pomo+d'Oro%22+di+Ruffo+Dott.+Roberto/@45.3116,11.3818797,1066m/data=!3m2!1e3!4b1!4m6!3m5!1s0x477f15bf43ed5c1d:0xef79d7fac0027f6d!8m2!3d45.3115963!4d11.3844546!16s%2Fg%2F1tvq2zk1!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.310686%2C11.385560,ministero,284,3,1,TRUE
ITVR005332,Lafarmacia. Centrale Marchesin,privata,"Piazza Giuseppe Garibaldi, 3",37044,Cologna Veneta,"45.309811254716394, 11.385810104212556","https://www.google.com/maps/place/Lafarmacia.+Centrale+Marchesin/@45.3097606,11.3840501,754m/data=!3m1!1e3!4m6!3m5!1s0x477f15c7163bea05:0x2602e3baf83d6b29!8m2!3d45.3097686!4d11.3858251!16s%2Fg%2F12hplq7q4!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.309133%2C11.399231,ministero,284,3,2,TRUE
ITVR005331,Farmacia Olivato S.R.L.,privata,"Viale Del Lavoro, 1/a",37044,Cologna Veneta,"45.310507740295506, 11.378306780804625","https://www.google.com/maps/place/Farmacia+Olivato/@45.3103531,11.3752284,1066m/data=!3m3!1e3!4b1!5s0x477f15bbc4dc3127:0x3f9cfbfd25b2b074!4m6!3m5!1s0x477f15c768b86fed:0xfb1b43a671de7d47!8m2!3d45.3103494!4d11.3778033!16s%2Fg%2F1tp06yv2!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.309450%2C11.384547,ministero,284,3,3,TRUE
ITVR005316,FARMACIA MARTELLETTO SNC,privata,"Via Montanara, 32",37030,Colognola Ai Colli,"45.42197332623348, 11.177507568002783","https://www.google.com/maps/place/Farmacia+Martelletto/@45.4218718,11.174132,1064m/data=!3m2!1e3!5s0x477f43453175da33:0x31aeba43bfcef607!4m14!1m7!3m6!1s0x477f43453c4c35ab:0xe70ff598fa4fd46e!2sFarmacia+Martelletto!8m2!3d45.4218681!4d11.1767069!16s%2Fg%2F11xcn6g9m!3m5!1s0x477f43453c4c35ab:0xe70ff598fa4fd46e!8m2!3d45.4218681!4d11.1767069!16s%2Fg%2F11xcn6g9m!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.433688%2C11.184292,ministero,284,2,1,TRUE
ITVR019340,Farmacia San Biagio,privata,"Via Stra', 47",37030,Colognola Ai Colli,"45.41508189577702, 11.183312136312665",Farmacia Comunale San Biagio,attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.414923%2C11.183138,ministero,284,2,2,TRUE
ITVR005411,Farmacia Zanzoni Igino,privata,"Via Capitello, 24",37050,Concamarise,"45.20648346665707, 11.1403724675219","https://www.google.com/maps/place/Farmacia+Zanzoni+Igino/@45.2063891,11.1369937,1068m/data=!3m2!1e3!4b1!4m6!3m5!1s0x477f71d86bfe7e37:0x9b7c9b6ee8132013!8m2!3d45.2063853!4d11.1395686!16s%2Fg%2F11h0zdm4m6!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.218722%2C11.124057,ministero,284,1,1,TRUE
ITVR005472,Farmacia Costermano,privata,"Viale della Repubblica, 1",37010,Costermano,"45.5850403142383, 10.743152384024262","https://www.google.com/maps/place/Farmacia+Costermano/@45.5849166,10.7402059,1061m/data=!3m3!1e3!4b1!5s0x4781f1809dcc9ecd:0xe90845211cccf107!4m6!3m5!1s0x4781f22a54b9a053:0x7a2eb5b3f53cc0ce!8m2!3d45.5849129!4d10.7427808!16s%2Fg%2F1tdvnltq!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.586901%2C10.746005,ministero,284,1,1,TRUE
ITVR005456,Farmacia Valdadige di Nikla srl,privata,"Via Brennero, 303 - Peri",37020,Dolce',"45.65846228316225, 10.903243558326787","https://www.google.com/maps/place/Farmacia+Valdadige+di+Nikla+srl/@45.6582963,10.9001401,1060m/data=!3m2!1e3!4b1!4m6!3m5!1s0x4781f84feff79455:0x91ca78de849e1145!8m2!3d45.6582926!4d10.902715!16s%2Fg%2F1ptyn637q!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.620581%2C10.877901,ministero,284,1,1,TRUE
ITVR005442,Farmacia ' San Giovanni Battista ' di Franca e Giorgio Ferraresi SNC,privata,"Via XXV Aprile, 11",37060,Erbe',"45.23980587176008, 10.96972063830401","https://www.google.com/maps/place/Farmacia+'+San+Giovanni+Battista+'+di+Franca+e+Giorgio+Ferraresi+SNC/@45.2395606,10.9663231,1068m/data=!3m1!1e3!4m14!1m7!3m6!1s0x477f633f1430dcd1:0xd6234c9ea7bcc8c5!2sFarmacia+'+San+Giovanni+Battista+'+di+Franca+e+Giorgio+Ferraresi+SNC!8m2!3d45.2395569!4d10.968898!16s%2Fg%2F1tdnjzgw!3m5!1s0x477f633f1430dcd1:0xd6234c9ea7bcc8c5!8m2!3d45.2395569!4d10.968898!16s%2Fg%2F1tdnjzgw!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.243283%2C10.974204,ministero,284,1,1,TRUE
ITVR005372,Farmacia Lessini,privata,"Via ROMA, 64",37020,Erbezzo,"45.640415589313506, 11.00142820698832","https://www.google.com/maps/place/Farmacia+Lessini/@45.6400847,11.0015894,19.5z/data=!4m6!3m5!1s0x4781ff00429c5c19:0xbf37e32b2b7723a5!8m2!3d45.6403959!4d11.0013422!16s%2Fg%2F11vwzzbq1j!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.636731%2C11.001070,ministero,284,1,1,TRUE
ITVR005425,Farmacia Braghetta Snc,privata,"Viale Verona, 71",37022,Fumane,"45.538804848626405, 10.885986297470511","https://www.google.com/maps/place/Farmacia+Braghetta+Snc/@45.5380285,10.887074,18.75z/data=!4m6!3m5!1s0x4781fb3312afa91b:0x66851b07f18f0e71!8m2!3d45.5387671!4d10.8860872!16s%2Fg%2F1tj72f_r!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.537841%2C10.885804,ministero,284,1,1,TRUE
ITVR005448,Farmacia Del Garda Di Gottardi Dr. Nello,privata,"Corso Italia, 78",37016,Garda,"45.57537409614061, 10.710520261614533","https://www.google.com/maps/place/Farmacia+Del+Garda+Di+Gottardi+Dr.+Nello/@45.5752427,10.7070334,17z/data=!3m1!4b1!4m6!3m5!1s0x4781f2417ac2d02f:0x6551257d1239ec22!8m2!3d45.575239!4d10.7096083!16s%2Fg%2F1tplp51w!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.576380%2C10.707146,ministero,284,1,1,TRUE
ITVR016494,Farmacia Comunale Dr.Ssa Mattioli S.P.A.,privata,"Piazza Maccacari, 66 - MACACCARI",37060,Gazzo Veronese,"45.14178401054084, 11.138936226228298","https://www.google.com/maps/place/Farmacia+Comunale+Dr.Ssa+Mattioli+S.P.A./@45.1416441,11.1356854,17z/data=!3m1!4b1!4m6!3m5!1s0x477f715a9ba894cd:0xbd7e049cce2fbbdb!8m2!3d45.1416403!4d11.1382603!16s%2Fg%2F1vtqtyv3!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",attiva,farmacia,VR,,,,2026-01-07,,https://www.google.com/maps/search/?api=1&query=45.141827%2C11.137506,ministero,284,2,1,TRUE
